month_date,hires,pct_of_baseline,usable
2002-05-01,3126,14.8,TRUE
2002-06-01,3855,18.3,TRUE
2002-07-01,2962,14,TRUE
2002-08-01,2126,10.1,TRUE
2002-09-01,7347,34.8,TRUE
2002-10-01,4222,20,TRUE
2002-11-01,2984,14.1,TRUE
2002-12-01,1996,9.5,TRUE
2003-01-01,16847,79.8,TRUE
2003-02-01,3555,16.8,TRUE
2003-03-01,4696,22.2,TRUE
2003-04-01,3546,16.8,TRUE
2003-05-01,3735,17.7,TRUE
2003-06-01,4352,20.6,TRUE
2003-07-01,3253,15.4,TRUE
2003-08-01,2337,11.1,TRUE
2003-09-01,8401,39.8,TRUE
2003-10-01,4975,23.6,TRUE
2003-11-01,3509,16.6,TRUE
2003-12-01,2473,11.7,TRUE
2004-01-01,20155,95.5,TRUE
2004-02-01,4358,20.6,TRUE
2004-03-01,5225,24.8,TRUE
2004-04-01,5283,25,TRUE
2004-05-01,5098,24.2,TRUE
2004-06-01,5840,27.7,TRUE
2004-07-01,4680,22.2,TRUE
2004-08-01,3530,16.7,TRUE
2004-09-01,9463,44.8,TRUE
2004-10-01,5966,28.3,TRUE
2004-11-01,4092,19.4,TRUE
2004-12-01,2827,13.4,TRUE
2005-01-01,21165,100.3,TRUE
2005-02-01,4831,22.9,TRUE
2005-03-01,5642,26.7,TRUE
2005-04-01,5297,25.1,TRUE
2005-05-01,5759,27.3,TRUE
2005-06-01,5811,27.5,TRUE
2005-07-01,4296,20.4,TRUE
2005-08-01,3196,15.1,TRUE
2005-09-01,10677,50.6,TRUE
2005-10-01,7193,34.1,TRUE
2005-11-01,4823,22.9,TRUE
2005-12-01,3338,15.8,TRUE
2006-01-01,22432,106.3,TRUE
2006-02-01,5520,26.2,TRUE
2006-03-01,6198,29.4,TRUE
2006-04-01,5973,28.3,TRUE
2006-05-01,6243,29.6,TRUE
2006-06-01,7791,36.9,TRUE
2006-07-01,5056,24,TRUE
2006-08-01,3780,17.9,TRUE
2006-09-01,11902,56.4,TRUE
2006-10-01,8279,39.2,TRUE
2006-11-01,6196,29.4,TRUE
2006-12-01,3944,18.7,TRUE
2007-01-01,25090,118.9,TRUE
2007-02-01,6411,30.4,TRUE
2007-03-01,7363,34.9,TRUE
2007-04-01,6911,32.7,TRUE
2007-05-01,7586,35.9,TRUE
2007-06-01,8070,38.2,TRUE
2007-07-01,6705,31.8,TRUE
2007-08-01,4722,22.4,TRUE
2007-09-01,13380,63.4,TRUE
2007-10-01,9493,45,TRUE
2007-11-01,7369,34.9,TRUE
2007-12-01,4399,20.8,TRUE
2008-01-01,26677,126.4,TRUE
2008-02-01,7774,36.8,TRUE
2008-03-01,7782,36.9,TRUE
2008-04-01,7954,37.7,TRUE
2008-05-01,8702,41.2,TRUE
2008-06-01,9306,44.1,TRUE
2008-07-01,7109,33.7,TRUE
2008-08-01,5375,25.5,TRUE
2008-09-01,14997,71.1,TRUE
2008-10-01,10500,49.7,TRUE
2008-11-01,6587,31.2,TRUE
2008-12-01,4471,21.2,TRUE
2009-01-01,24762,117.3,TRUE
2009-02-01,6485,30.7,TRUE
2009-03-01,6728,31.9,TRUE
2009-04-01,6824,32.3,TRUE
2009-05-01,7853,37.2,TRUE
2009-06-01,9062,42.9,TRUE
2009-07-01,6437,30.5,TRUE
2009-08-01,5014,23.8,TRUE
2009-09-01,16247,77,TRUE
2009-10-01,9690,45.9,TRUE
2009-11-01,7136,33.8,TRUE
2009-12-01,4895,23.2,TRUE
2010-01-01,27658,131,TRUE
2010-02-01,7255,34.4,TRUE
2010-03-01,8097,38.4,TRUE
2010-04-01,7915,37.5,TRUE
2010-05-01,8710,41.3,TRUE
2010-06-01,9618,45.6,TRUE
2010-07-01,6727,31.9,TRUE
2010-08-01,5040,23.9,TRUE
2010-09-01,15471,73.3,TRUE
2010-10-01,11641,55.2,TRUE
2010-11-01,7110,33.7,TRUE
2010-12-01,5396,25.6,TRUE
2011-01-01,25626,121.4,TRUE
2011-02-01,7714,36.5,TRUE
2011-03-01,8464,40.1,TRUE
2011-04-01,8562,40.6,TRUE
2011-05-01,9862,46.7,TRUE
2011-06-01,10522,49.9,TRUE
2011-07-01,7799,37,TRUE
2011-08-01,5169,24.5,TRUE
2011-09-01,15360,72.8,TRUE
2011-10-01,10382,49.2,TRUE
2011-11-01,8338,39.5,TRUE
2011-12-01,5037,23.9,TRUE
2012-01-01,26629,126.2,TRUE
2012-02-01,8087,38.3,TRUE
2012-03-01,9412,44.6,TRUE
2012-04-01,9741,46.2,TRUE
2012-05-01,9859,46.7,TRUE
2012-06-01,11116,52.7,TRUE
2012-07-01,9569,45.3,TRUE
2012-08-01,5806,27.5,TRUE
2012-09-01,16671,79,TRUE
2012-10-01,12486,59.2,TRUE
2012-11-01,8879,42.1,TRUE
2012-12-01,6158,29.2,TRUE
